ID Class,Course ID,Name,Day of Weeks,Time,Place
140888,ET3250,Digital Communications,2,1505-1730,D6-102
140889,ET3240,Analog Electronics II,2,1230-1455,D6-102
140890,ET3300,Microprocessors,3,1230-1455,D6-102
140891,ET2022,Technical Writing and Presentation,3,1505-1645,D6-102
140891,ET2022,Technical Writing and Presentation,5,1230-1400,D6-102
140928,ET3901,Wireless Communications,6,0920-1145,D6-104
140964,ET2014,Electronic Engineering,6,1015-1145,D8-302
140996,ET3250E,Fundamentals of Communication Systems,6,0825-1145,D8-402
141041,ET3220E,Digital Electronics,2,0645-1005,D8-106
141042,ET3230E,Analog Electronic,s I5,0825-1145,D8-106
141043,ET3280E,Antenna and Waves,2,1015-1145,D8-106
141043,ET3280E,Antenna and Waves,5,0645-0815,D8-106
141044,ET4020E,Digital Signal Processing,4,0920-1145,D8-402
141045,ET4080E,Fundamentals of Network Engineering,6,0645-1005,D6-206
141046,ET4111E,Biomedical Measurement,2,0645-0910,D6-206
141047,ET4570E,Digital Biosignal Processing,2,0920-1145,D6-206
141048,ET4230E,Computer Networks,3,0920-1145,D6-206
141049,ET4248E,Machine Learning for Biomedical Applications,5,0645-1005,D6-206
141050,ET3168E,Statistical methods for biomedical engineering,3,0730-0910,D6-206
141050,ET3168E,Statistical methods for biomedical engineering,5,1015-1145,D6-206
141051,ET4216E,BME Design III,6,1015-1145,D6-206
141052,ET3311,Information security,2,1410-1730,D8-304
141053,ET4032,Analog IC design,4,1230-1455,D8-304
141054,ET4231,Computer networks and IoT,4,1505-1730,D8-304
141055,ET4260,Project in Multimedia,2,1230-1400,D8-304
141056,ET4292,Embedded opreating systemss,6,1505-1730,D8-304
141057,ET4361,Embedded system and interface,6,1230-1455,D8-304
141058,ET2022,Technical Writing and Presentation,3,1410-1730,D8-302
141059,ET4245,AI and Applications,5,1410-1730,D6-106
141078,ET2012,Electronic Engineering,6,1410-1550,D8-302
141079,ET2012,Electronic Engineering,6,1600-1730,D8-208
141108,ET2031E,C/C++ Programming Language,3,0920-1145,D8-206
141109,ET2060E,Signals and Systems,4,1230-1550,D8-206
141110,ET2040E,Semiconductor Devices,5,1410-1730,D8-208
141111,ET2050E,Circuit Theory,6,1505-1730,D8-402
141112,ET2072E,Information Theory,5,1230-1400,D8-202
